customer_id,name,city,email,registered_date
101,Ramya,Hyderabad,yramya@gmail.com,2019-10-06
102,Vedika,Jaipur,shahvedika@gmail.com,2024-07-04
103,Tanushree,Lucknow,shree@gmail.com,2025-01-09
104,Alice,"New Delhi",aliceyy@gmail.com,2020-05-03
105,Kaneez,Chennai,zehra123@gmail.com,2021-04-07
106,Salman,Kochi,dqsal@gmail.com,2018-12-16
107,Alia,Dehradun,kapoor@gmail.com,2025-11-27
108,Puspha,Hyderabad,rajpuspha@gmail.com,2023-05-29
109,Chetana,Udaipur,manuka0810@gmail.com,2026-01-05
110,Rani,Madras,estherrani@gmail.com,2019-03-28
111,Vaishnavi,Vijaywada,vaish31@gmail.com,2018-06-12
112,Ruksana,Amaravati,shaik@mail.com,2021-12-31
113,Bhavani,Mumbai,talvaribhavani@gmail.com,2018-01-01
114,Lasya,Punjab,lasyasri@gmail.com,2020-03-11
115,Uma,kochi,uma143@gmail.com,2023-04-05
116,Srinidhi,Bangalore,psri1607@gmail.com,2018-08-09
117,Surekha,Mysore,sukku@gmail.com,2019-03-02
118,Karthik,Hyderabad,karx@gmail.com,2020-03-17
119,Anirudh,Manglore,ani@gmail.com,2021-09-10
120,Saketh,Pune,Sk@gmail.com,2020-04-15
